,Event,FP1,FP2,F3,F4,F7,F8,C3,C4,P3,P4,O1,O2,T3,T4,T5,T6,FZ,CZ,PZ
419,0,0.5,-2.8,-13.6,-2.3,-7.3,-5.3,-21.0,-27.6,-22.7,-25.1,-22.2,-29.7,-17.9,-15.5,-21.5,12.3,-15.7,-15.2,86.4
420,0,0.1,-4.3,-15.5,-4.1,-6.0,-6.4,-22.4,-30.0,-25.4,-28.6,-26.6,-27.9,-18.3,-17.0,-20.5,8.1,-17.1,-17.4,83.2
421,0,2.0,-3.0,-14.8,-2.7,-6.1,-5.1,-21.9,-27.9,-22.7,-27.5,-20.0,-17.3,-16.2,-14.4,-17.8,6.6,-14.7,-16.4,86.1
422,0,3.3,-1.2,-11.6,-0.0,-5.1,-4.5,-19.7,-23.8,-19.0,-23.6,-13.9,-12.9,-13.9,-11.8,-16.6,9.7,-11.8,-13.2,91.0
423,0,2.0,-1.5,-9.7,1.2,-5.4,-4.8,-18.8,-21.3,-16.4,-20.6,-11.3,-12.7,-13.4,-10.9,-15.5,12.7,-12.2,-10.2,93.4
424,0,1.1,-3.6,-10.2,0.4,-7.2,-5.9,-20.0,-21.3,-15.0,-20.1,-7.8,-11.9,-13.7,-12.0,-13.1,11.7,-15.4,-9.6,93.0
425,0,0.8,-7.2,-12.3,-1.6,-7.6,-8.8,-21.6,-22.9,-15.3,-21.4,-4.7,-16.7,-13.8,-14.8,-10.9,9.5,-18.9,-11.2,91.6
426,0,-1.4,-10.2,-15.1,-2.7,-6.3,-11.6,-21.2,-23.8,-15.4,-21.5,-3.1,-19.7,-13.7,-16.5,-9.5,10.9,-20.2,-11.9,91.6
427,0,-2.4,-8.9,-16.2,-1.3,-3.9,-11.1,-18.1,-21.6,-12.7,-17.4,-1.0,-7.3,-11.9,-13.8,-7.8,16.5,-17.5,-8.9,95.2
428,0,1.9,-3.8,-13.6,1.3,-0.4,-7.8,-14.2,-18.4,-9.3,-12.7,0.3,5.9,-8.1,-8.8,-6.8,20.4,-12.4,-4.0,99.5
429,0,6.3,-0.4,-9.6,2.4,2.3,-5.2,-12.2,-18.3,-8.1,-12.9,-2.3,-0.0,-4.9,-7.7,-7.3,17.9,-9.0,-1.0,99.9
430,0,5.9,-1.8,-7.3,1.1,2.9,-4.8,-12.2,-20.9,-7.8,-16.6,-6.5,-12.8,-3.8,-11.7,-7.3,12.5,-8.8,-1.1,97.2
431,0,5.1,-3.0,-5.1,0.0,3.2,-4.7,-12.2,-22.1,-6.4,-17.8,-5.4,-12.5,-3.6,-14.1,-6.5,10.5,-9.2,-1.7,96.8
432,0,7.0,-0.4,-1.6,1.2,3.5,-3.3,-11.3,-20.1,-4.5,-15.1,2.6,-5.0,-3.2,-12.1,-6.7,12.6,-8.4,-0.3,100.5
433,0,6.2,0.6,0.2,2.0,1.7,-3.0,-11.7,-18.6,-4.7,-13.0,7.0,-4.3,-4.5,-11.2,-8.6,14.2,-8.4,1.2,103.1
434,0,1.0,-3.7,-1.8,0.0,-1.5,-5.5,-15.0,-19.3,-8.8,-13.8,-1.0,-6.6,-8.2,-13.6,-10.8,14.4,-10.8,0.2,100.9
435,0,-1.5,-7.0,-3.1,-1.9,-2.2,-6.8,-18.6,-19.5,-13.5,-13.8,-11.1,-2.9,-10.7,-14.5,-12.1,15.1,-12.4,-1.1,97.8
436,0,1.9,-4.6,-0.5,-0.6,-0.3,-4.4,-19.1,-18.5,-14.0,-12.7,-11.4,-2.7,-9.4,-13.2,-11.4,14.6,-11.4,-0.7,97.5
437,0,5.9,-0.9,2.2,1.6,1.6,-1.8,-17.5,-18.0,-11.8,-13.9,-8.1,-13.6,-6.6,-12.3,-9.8,11.7,-10.0,-0.0,97.3
438,0,7.2,-0.1,1.7,3.0,3.3,-1.6,-14.8,-17.2,-8.8,-14.3,-5.2,-18.9,-4.4,-10.6,-8.0,11.8,-9.2,1.0,98.0
439,0,7.2,-0.8,1.2,4.9,4.5,-2.9,-10.5,-14.6,-4.2,-9.7,2.2,-9.2,-1.9,-7.7,-5.6,17.6,-7.4,4.4,102.7
440,0,6.3,-1.2,1.9,7.6,3.2,-4.7,-6.4,-11.9,-0.9,-4.6,6.7,-2.3,-0.4,-6.9,-4.7,23.4,-5.0,7.7,107.3
441,0,5.8,-1.3,1.9,9.7,2.3,-5.5,-4.5,-11.2,-2.9,-4.4,0.2,-5.7,-0.5,-8.9,-6.4,24.8,-3.3,8.2,107.1
442,0,8.1,-0.4,2.8,10.9,5.7,-4.0,-3.4,-10.7,-6.0,-5.5,-6.6,-5.6,0.2,-9.0,-7.7,24.8,-1.7,8.5,106.6
443,0,11.2,1.6,4.4,11.2,7.9,-1.3,-2.0,-9.0,-5.0,-4.1,-4.2,-0.2,1.3,-5.2,-6.6,25.6,-0.5,10.1,109.6
444,0,10.3,2.7,3.1,9.3,3.0,-0.1,-2.2,-8.4,-2.7,-3.6,0.2,-3.3,-0.0,-2.0,-5.2,23.9,-1.1,10.3,112.0
445,0,6.8,2.8,1.0,6.3,-1.4,-0.6,-2.5,-8.7,-1.4,-4.4,0.9,-10.0,-1.6,-1.6,-4.0,22.5,-2.3,9.2,112.5
446,0,7.1,4.6,4.0,5.9,3.5,-0.5,0.4,-6.7,1.2,-0.9,2.3,-4.9,0.9,-0.3,-1.6,29.0,-0.9,10.8,115.6
447,0,11.0,7.6,10.1,8.7,10.5,0.7,4.4,-3.7,4.2,3.9,6.2,1.6,4.9,1.4,0.7,36.8,3.2,13.9,119.2
448,0,14.1,10.0,12.7,11.9,11.0,2.2,5.3,-3.7,4.5,2.6,7.6,-6.3,6.3,0.1,1.6,35.7,6.5,14.4,118.5
449,0,15.1,11.1,12.3,13.1,8.6,2.3,4.3,-5.7,2.7,-1.7,4.7,-12.9,5.2,-2.4,1.8,29.7,7.6,13.0,115.9
450,0,15.5,11.1,11.6,12.8,7.6,0.8,4.5,-6.7,2.9,-2.6,2.9,-2.0,4.4,-3.3,2.6,26.9,7.4,12.6,116.4
451,0,16.3,11.1,10.6,12.9,7.1,-0.5,5.5,-6.8,5.2,-1.0,5.5,11.3,5.3,-2.8,3.5,27.0,7.1,13.2,118.7
452,0,17.5,11.9,9.2,13.7,6.7,-0.9,5.3,-7.8,5.1,-1.2,6.9,9.7,5.8,-2.9,3.3,26.9,6.6,13.0,118.0
453,0,18.2,12.0,9.0,14.9,8.2,-1.6,4.4,-9.6,1.8,-3.1,4.2,1.3,5.2,-4.1,1.9,25.8,6.1,11.8,114.6
454,0,17.4,10.8,9.7,15.6,9.5,-2.9,3.8,-10.1,-0.2,-4.1,4.4,-2.8,4.3,-4.9,1.3,24.1,6.2,11.5,112.7
